Item Code,Item Group,Default Unit of Measure,Series,Item Name,Sub Item Group,Specs Sheet,Arabic Description,Disabled,Allow Alternative Item,Maintain Stock,Has Variants,Include Item In Manufacturing,Opening Stock,Valuation Rate,Standard Selling Rate,Is Fixed Asset,Auto Create Assets on Purchase,Create Grouped Asset,Asset Category,Asset Naming Series,Over Delivery/Receipt Allowance (%),Over Billing Allowance (%),Image,Description,Is Zero Rated,Is Exempt,Brand,Shelf Life In Days,End of Life,Default Material Request Type,Valuation Method,Power Type,Electrical Consumption in KW,Gas Consumption in KW,Steam Consumption in KW,Warranty Period (in days),Weight Per Unit,Weight UOM,Allow Negative Stock,Units,Height,Width,Length,Diameter,Dimension,Has Batch No,Automatically Create New Batch,Batch Number Series,Has Expiry Date,Retain Sample,Max Sample Quantity,Has Serial No,Serial Number Series,Variant Of,Variant Based On,Enable Deferred Expense,No of Months (Expense),Enable Deferred Revenue,No of Months (Revenue),Default Purchase Unit of Measure,Minimum Order Qty,Safety Stock,Allow Purchase,Lead Time in days,Last Purchase Rate,Is Customer Provided Item,Customer,Delivered by Supplier (Drop Ship),Country of Origin,Customs Tariff Number,Default Sales Unit of Measure,Grant Commission,Allow Sales,Max Discount (%),Inspection Required before Purchase,Quality Inspection Template,Inspection Required before Delivery,Currency,Shipping term,Exchange Factor,Landed Cost,Price Factor,Additional margin,Less Margin,Selling Price,Supply Raw Materials for Purchase,Default BOM,Customer Code,Default Item Manufacturer,Default Manufacturer Part No,Total Projected Qty,ID (Fitting Details),Model Name (Fitting Details),Model No. (Fitting Details),No. (Fitting Details),QTY (Fitting Details),ID (Accessories Details),Accessory No. (Accessories Details),Model Name (Accessories Details),Model No. (Accessories Details),No. (Accessories Details),QTY (Accessories Details),ID (Barcodes),Barcode (Barcodes),Barcode Type (Barcodes),UOM (Barcodes),ID (Reorder level based on Warehouse),Check in (group) (Reorder level based on Warehouse),Material Request Type (Reorder level based on Warehouse),Re-order Level (Reorder level based on Warehouse),Re-order Qty (Reorder level based on Warehouse),Request for (Reorder level based on Warehouse),ID (UOMs),Conversion Factor (UOMs),UOM (UOMs),ID (Variant Attributes),Attribute (Variant Attributes),Attribute Value (Variant Attributes),Disabled (Variant Attributes),From Range (Variant Attributes),Increment (Variant Attributes),Numeric Values (Variant Attributes),To Range (Variant Attributes),Variant Of (Variant Attributes),ID (Item Defaults),Company (Item Defaults),Default Buying Cost Center (Item Defaults),Default Discount Account (Item Defaults),Default Expense Account (Item Defaults),Default Income Account (Item Defaults),Default Price List (Item Defaults),Default Provisional Account (Item Defaults),Default Selling Cost Center (Item Defaults),Default Supplier (Item Defaults),Default Warehouse (Item Defaults),Deferred Expense Account (Item Defaults),Deferred Revenue Account (Item Defaults),ID (Supplier Items),Supplier (Supplier Items),Supplier Part Number (Supplier Items),ID (Customer Items),Customer Group (Customer Items),Customer Name (Customer Items),Ref Code (Customer Items),ID (Taxes),Item Tax Template (Taxes),Maximum Net Rate (Taxes),Minimum Net Rate (Taxes),Tax Category (Taxes),Valid From (Taxes)
EXFEHHC925SAU,Food Preparation,Nos,STO-ITEM-.YYYY.-,"Water Boiler, DIRECT 25 Liter/HR",,,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,/files/exfehhc925sau_jpg.webp,<div><p>Digital Smart Water Boiler with Innovative Technology</p><p>This Heater approximately serves 25 liters of water in one hour</p><p>Standard Outlet Temperature Of 91*C-95*C</p><p>Minimum Temperature Reset To 70*C</p><p>Height From Nozzle to Drip Tray 28Cm</p><p>Blue LCD Interface</p></div>,0,0,Piokit,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,1702.35,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,,,,1.6,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,di79diu6tb,1,Nos,,,,,,,,,,di79s4vdcq,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
OK002CR,Food Preparation,Nos,STO-ITEM-.YYYY.-,TURKISH COFFEE MACHINE,,https://culinovaerp.frappe.cloud/files/OK002CR.pdf,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,/files/OKKA_WHITE_FRONT_2CUPS_KROM_-Copy_540x.webp,<div><p>1) The advantage of slow preparation to prepare Turkish coffee that tastes like that prepared on hot coals</p><p>2) Automatically detects the water level and adjusts the coffee brewing time accordingly ensuring the same great taste every time</p><p>3) Option to automatically supply the machine with water from an external water tank</p><p>4) Self-cleaning feature.</p><p>5) Turkish coffee on its origins with its wonderful taste and rich foam</p><p>6) Option to prepare one or two cups at the same time</p><p><br></p></div>,0,0,OKKA,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,694.78,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,,,,1.6,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,74ecf91gve,1,Nos,,,,,,,,,,74ec3tns64,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
SK30,Custom Fabrication,Nos,STO-ITEM-.YYYY.-,Single Bowl Sink  ,,,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,/files/SK40.jpeg,"<div><p>S/S Single Bowl Sink</p><p>A stainless steel (S/S) single bowl sink is a durable and versatile kitchen or utility fixture featuring a single spacious basin made from high-quality stainless steel. Designed for ease of use and cleaning, it provides ample space for washing, rinsing, and food preparation. Its corrosion-resistant surface ensures long-lasting performance, making it an ideal choice for residential, commercial, and industrial settings.</p><p>DIM :300 X 300 X 200 MM</p></div>",0,0,Culinox,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,200,300,300,,300 L x 300 W x 200 H,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,147.83,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,Ex Work,1,,1.6,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,7p0uranpct,1,Nos,,,,,,,,,,7p0ujvc1eo,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
CT1,Bakery& Pastry,Nos,STO-ITEM-.YYYY.-,"CONVEYOR TOASTER, ELECTRIC",,https://culinovaerp.frappe.cloud/files/Lincat_CT1_AutomatedSpecSheet.pdf,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,/files/[LINCAT-1001] BREAD TOASTER - LINCAT-CT1.jpeg,<div><p>ELECTRIC Countertop Conveyor Toaster</p><p>THE BODY MADE OF STAINLESS STEEL</p><p>Power : 2.4 Kw</p><p>Production : 340 Toast Slices / Hour</p></div>,0,0,LINCAT,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,4860.1,0,,0,Saudi Arabia,,,1,1,0,0,,0,EUR,Ex Work,5.25,,1.85,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,cchrjvm8av,1,Nos,,,,,,,,,,cchru7dur0,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
MCD101,Cooking Equipment,Nos,STO-ITEM-.YYYY.-,CHOCOLATE MELTER Digital Meltinchoc - 3.6 liters,,https://culinovaerp.frappe.cloud/files/DIGITAL%20MELTINCHOC%20Hand%20book%20of%20use%20and%20maintenance.pdf,,0,0,1,0,1,0,0,0,0,0,0,,,0,0,/files/19d876b.jpeg,"<div><p>Digital Meltinchoc, a digital chocolate melter, is made of heat-resistant plastic material, with removable stainless steel tank and lid and temperature probe for chocolate temperature control.</p><p>The electronic board manages the internal heating element and chocolate temperature detection via the external probe to optimize the achievement of the required result and to enable faster and more precise chocolate melting.</p><p>The front panel provides suggestions for tempering, adjustable manually or following the 3 different programs according to the type of chocolate: white, milk or dark chocolate.</p><p>Indications on the display help the operator complete the steps of tempering and maintaining chocolate.</p><p><br></p><p>Main features: constant and homogeneous temperature, removable stainless steel tank, selectable programs, rapid melting, digital control, graphic display, temperature probe and sound indicators.</p><p><br></p><p>Capacity: 3.6 liters.</p><p>Tub size: 18 x 32.5 h 10 cm</p></div>",0,0,MARTELLATO,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,3810,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,,,,1.6,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,cj7421rv5u,1,Nos,,,,,,,,,,cj743tgahe,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
MO-BUTTERFLY700,Cleaning & Sanitization,Nos,STO-ITEM-.YYYY.-,INSECT KILLER  ,Insect Killer,https://culinovaerp.frappe.cloud/files/CATALOGO_INGLESE_NUOVO_MODIFICATO.pdf,,0,0,1,0,1,0,0,644,0,0,0,,,0,0,/files/download4c736e.jpeg,"<div><p><br></p><p>TECHNICAL FEATURES</p><p>Weight:  2,5 Kg</p><p>Power Supply : 230V 60HZ</p><p>Total Consumption: 40W</p><p>Lamps UV-A 2x15 W</p><p>Bodywork: Aluminum-PMMA</p><p>Range of action: 12-14 meters</p><p>IP Rate: IP55</p><p>Glue Boards Dimensions: 15X38 cm</p><p>Dimensions in mm :112X435X400</p></div>",0,0,MOEL,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,280,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,Ex Work,1,348,1.85,0,0,644,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,e9rl7o8116,1,Nos,,,,,,,,,,e9rlh3lft5,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
IP0002,Cleaning & Sanitization,Nos,STO-ITEM-.YYYY.-, Waste Bin Trolley Manual Lid,,https://culinovaerp.frappe.cloud/files/IP0002.pdf,,0,0,1,0,1,0,423,677,0,0,0,,,0,0,/files/IP0002.jpg,<div><p>Crafted from durable and rust-resistant stainless steel.</p><p>Ø46.5 diameter and 60.5 cm height offer a space-efficient design suitable for various settings.</p><p>75 L capacity is ideal for moderate waste disposal needs.</p><p>Equipped with casters for smooth and effortless maneuvering.</p><p>Designed for convenient manual waste disposal.</p><p>DIM:450X605MM</p><p><br></p></div>,0,0,Inox Piave (L),0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,528.5,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,Ex Work,1,423,1.6,0,0,677,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,5q1vdkdq70,1,Nos,,,,,,,,,,5q1vc840mt,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
MFB711FGMXS,Cooking Equipment,Nos,STO-ITEM-.YYYY.-,6 BURNERS ON MAXI GAS OVEN,,https://culinovaerp.frappe.cloud/files/MFB711FGMXS.pdf,,0,0,1,0,1,0,9576,18434,0,0,0,,,0,0,/files/MFB711FGMXS.jpg,"<div><p>Flex Burners with brass burner caps and self-stabilizing flame, to cook safely and for simpler maintenance. Each burner has an adjustable power range, from a minimum of 1.5 kW to a maximum of 5.5 / 7 kW, to get maximum fl exibility. The pilot flame is protected inside the main burner. The placement of the burners allows use of pans up to 40 cm in diameter. The single cast iron pan support are dishwasher-size. 1 mm worktop in AISI 18/10 stainless steel. Excellent alignement with joints.</p><p><br></p><p>Versions with oven:</p><p>Stainless steel cooking chamber with enameled bottom, stainless steel double-wall door with insulating casing.</p><p>Gas oven: 6 kW burner (8 kW for maxi oven) with self-stabilizing flame; thermostatic temperature control with safety valve and thermocouple; piezo-electric burner ignition. 3 GN 2/1 rack support.</p><p>Electric oven: 5.3 kW (2,6 kW for ventilated oven) stainless steel armoured heating elements placed on the bottom and on the top of the cooking chamber; thermostatic temperature control with separate bottom/top temperature control for maximum cooking flexibility. 3 GN 2/1 rack support (static oven) and 3 GN 1/1 rack support (ventilated oven).</p><p>External dimensions - WxDxH (cm)  	110x71,4x85 </p><p>Nr. Burners 5.5 kW  	6 </p><p>Gas oven (kW)  	8 </p><p>Total power (kW)  	41 </p></div>",0,0,MBM,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,0,0,,0,Saudi Arabia,,,1,1,0,0,,0,AED,Ex Work,1.1,10533.6,1.75,0,0,18434,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,bimu4embo6,1,Nos,,,,,,,,,,9p0dbk14av,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
5KSM7990XBER,Food Preparation,Nos,STO-ITEM-.YYYY.-,6.9 L STAND MIXER EMPIRE ,,https://culinovaerp.frappe.cloud/files/5KSM7990XBER.pdf,,0,0,1,0,1,0,2435,4505,0,0,0,,,0,0,/files/5k.jpg,"<div><p>- 6.9L stainless steel bowl, ideal for large quantities </p><p>- 1.3 HP direct drive motor, quiet and powerful </p><p>- Full metal body with metal gears and control knobs for durability </p><p>- Original planetary action for fast, thorough mixing </p><p>- Wire guard and stop switch for safety </p><p>- Electronic speed control: 40-200 RPM (10 speeds) </p><p>- Weight: 13 kg (net), 16.66 kg (gross) </p><p>- Max flour capacity: 2.2 kg all-purpose, 1.75 kg whole wheat </p><p>- Other max capacities: 19 egg whites, 4.5 kg cake, 3.8 kg bread dough, 168 cookies</p><p>- Dimensions: 419 × 287 × 310 MM</p></div>",0,0,Kitchenaid,0,12/31/2099,Purchase,,,380v/3ph/60h,,,,0,,0,MM,,,,,,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,3391.5,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,,1,2435,1.85,0,0,4505,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,ksvt91fpr8,1,Nos,,,,,,,,,,m90cqnpf39,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
MP450 ULTRA,Food Preparation,Nos,STO-ITEM-.YYYY.-,HAND Mixer,Food Processor,https://culinovaerp.frappe.cloud/files/MP550%20ULTRA.pdf,,0,0,1,0,1,0,2600,4160,0,0,0,,,0,0,/files/MP450 ULTRA.png,"<div><p>• Perfect hygiene: Foot, knife , bell, and whisk fully removable - a Robot-Coupe exclusive. </p><p>• Robust machine: The design of the machines and the materials used in their construction guarantee a sturdy machine. </p><p>• Large processing capacity: Powerful motor for fast processing and an optimum quality end-product. </p><p>• Easy maintenance: All stainless steel tube, bell, knife and whisk. </p><p>• Compact models: Space saving and easy to use. 5 models to process small quantities.</p></div>",0,0,ROBOT COUPE,0,12/31/2099,Material Transfer,Moving Average,Electrical,220v/1ph/60h,,,,0,,0,MM,840,125,125,,125 L x 125 W x 840 H,0,0,,0,0,0,0,,,Item Attribute,0,0,0,0,,0,0,1,0,2517.83,0,,0,Saudi Arabia,,,1,1,0,0,,0,SAR,Ex Work,1,2600,1.6,0,0,4160,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,8475bdc157,1,Nos,,,,,,,,,,b60ff757e9,Culinova,,,,410101 - Sales - المبيعات - CUL,,,,,Stores - CUL,,,,,,,,,,,,,,,
